"project_id","deployment_id","placename","State","camera_name","image_id","filename","location","Longitude","Latitude","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","timestamp","Fecha","Hora","number_of_objects","age","sex","animal_recognizable","individual_id","individual_animal_notes","behavior","highlighted","markings","cv_confidence","license","bounding_boxes"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","75fd8a3d-a379-4885-a674-145bd5ff20a0","IMG_0020_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/75fd8a3d-a379-4885-a674-145bd5ff20a0.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","52386d80-3ae4-4271-85f3-7432c16356c5","Aves","Gruiformes","Rallidae","Aramides","albiventris","Russet-naped Wood-Rail","","25/08/2024 05:29","25/08/2024","05:29:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.5391164179104478,0.364,0.6804298507462687,0.45618]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","686ec1c6-1398-44b3-871c-c922ff88942a","IMG_0021_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/686ec1c6-1398-44b3-871c-c922ff88942a.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","52386d80-3ae4-4271-85f3-7432c16356c5","Aves","Gruiformes","Rallidae","Aramides","albiventris","Russet-naped Wood-Rail","","26/08/2024 06:38","26/08/2024","06:38:00","6","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.5895164179104478,0.4101,0.7153552238805971,0.48744]}"",""{\""detectionBox\"":[0.4047880597014925,0.07187000000000002,0.4845361194029851,0.10232999999999999]}"",""{\""detectionBox\"":[0.5069850746268656,0.2859,0.5825420895522387,0.31871000000000005]}"",""{\""detectionBox\"":[0.5727522388059701,0.3398,0.6623008955223881,0.38433]}"",""{\""detectionBox\"":[0.46776119402985067,0.22489999999999996,0.5321205970149253,0.25379999999999997]}"",""{\""detectionBox\"":[0.4187582089552239,0.14530000000000004,0.48592238805970156,0.19139]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","775e5ca8-ee0f-4746-afa6-e7d709f9112c","IMG_0024_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/775e5ca8-ee0f-4746-afa6-e7d709f9112c.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","52386d80-3ae4-4271-85f3-7432c16356c5","Aves","Gruiformes","Rallidae","Aramides","albiventris","Russet-naped Wood-Rail","","27/08/2024 06:39","27/08/2024","06:39:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.5671641791044776,0.364,0.7447999999999998,0.45228]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","6a6a2362-53e6-45f9-a719-a4a7f4228d13","IMG_0025_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/6a6a2362-53e6-45f9-a719-a4a7f4228d13.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","b1352069-a39c-4a84-a949-60044271c0c1","Aves","","","","","Bird","","27/08/2024 18:38","27/08/2024","18:38:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.4033910447761195,0.1546,0.550292537313433,0.20146999999999998]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","f998c79f-fd27-4661-a19e-dc56ccfe78cd","IMG_0026_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/f998c79f-fd27-4661-a19e-dc56ccfe78cd.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","984f2b7c-95d9-42a5-92ca-25eb65111249","Aves","Pelecaniformes","Ardeidae","Egretta","tricolor","Tricolored Heron","","28/08/2024 14:48","28/08/2024","14:48:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.3740537313432835,0.44760000000000005,0.7755343283582088,0.6858000000000001]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","bb17d7b4-4c68-4355-8642-686608cc82f2","IMG_0027_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/bb17d7b4-4c68-4355-8642-686608cc82f2.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","984f2b7c-95d9-42a5-92ca-25eb65111249","Aves","Pelecaniformes","Ardeidae","Egretta","tricolor","Tricolored Heron","","28/08/2024 15:11","28/08/2024","15:11:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.2088835820895522,0,0.4215522388059702,0.09687000000000001]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","6465ca84-3e23-4d45-a703-ec1813563cf9","IMG_0019_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/6465ca84-3e23-4d45-a703-ec1813563cf9.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","b1352069-a39c-4a84-a949-60044271c0c1","Aves","","","","","Bird","","22/08/2024 07:25","22/08/2024","07:25:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.4047880597014925,0.1734,0.49153194029850744,0.22260999999999997]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","3b8efb94-f76d-46fb-ab3d-9af208c54310","IMG_0022_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/3b8efb94-f76d-46fb-ab3d-9af208c54310.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","b1352069-a39c-4a84-a949-60044271c0c1","Aves","","","","","Bird","","26/08/2024 15:19","26/08/2024","15:19:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.2984,0.1148,0.530626865671642,0.22569999999999996]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","f7e9be35-b07c-45f3-ac98-bc2fc3779572","IMG_0030_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/f7e9be35-b07c-45f3-ac98-bc2fc3779572.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","984f2b7c-95d9-42a5-92ca-25eb65111249","Aves","Pelecaniformes","Ardeidae","Egretta","tricolor","Tricolored Heron","","31/08/2024 08:31","31/08/2024","08:31:00","2","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.49290746268656715,0.507,0.9545671641791045,0.6741]}"",""{\""detectionBox\"":[0.30409552238805965,0.1414,0.4440119402985075,0.16015]}""}"
"2008653","Sampling 1","RBRL-KBN-01","Yucatan","W1","f7e9be35-b07c-45f3-ac98-bc2fc3779572","IMG_0030_QV.JPG","gs://145625598251_2008653_706_manglaria__main/deployment/2356202/prod/directUpload/f7e9be35-b07c-45f3-ac98-bc2fc3779572.JPG","-88.2105201","21.5700387","0","María Fernanda Olivares Martinez","b1352069-a39c-4a84-a949-60044271c0c1","Aves","","","","","Bird","","31/08/2024 08:31","31/08/2024","08:31:00","1","","","","","","","false","","","CC-BY","{""{\""detectionBox\"":[0.49290746268656715,0.507,0.9545671641791045,0.6741]}"",""{\""detectionBox\"":[0.30409552238805965,0.1414,0.4440119402985075,0.16015]}""}"
